image_number,R00,R01,R02,T1,R10,R11,R12,T2,R20,R21,R22,T3,fx,fy,cx,cy
28,0.89029676,0.30086869,-0.34169033,-0.3779586,-0.2983132,0.95244533,0.06138099,0.0042605111,0.34392101,0.047285084,0.93774217,0.3133615,585.0,585.0,320.0,240.0
29,0.8899557,0.30131051,-0.34218866,-0.38283512,-0.29786998,0.95241541,0.063944727,0.00421122,0.34518516,0.045021296,0.93738902,0.31448665,585.0,585.0,320.0,240.0
30,0.88835537,0.30368122,-0.34424487,-0.38503262,-0.29969996,0.95169079,0.066144861,0.00478272,0.34771392,0.044411518,0.93648291,0.31608817,585.0,585.0,320.0,240.0
31,0.88795543,0.3045072,-0.3445465,-0.38737065,-0.29953378,0.95153934,0.069010884,0.0058029983,0.34887624,0.041926041,0.93616509,0.31756976,585.0,585.0,320.0,240.0
32,0.88805723,0.30433437,-0.34443641,-0.3925758,-0.29795554,0.95175779,0.072729066,0.0047768438,0.3499665,0.038040195,0.93592399,0.31863075,585.0,585.0,320.0,240.0
33,0.88659859,0.30605629,-0.34666079,-0.39697757,-0.29875687,0.95126969,0.075763233,0.0063325469,0.35296848,0.036396649,0.93486124,0.32063523,585.0,585.0,320.0,240.0
34,0.8850472,0.31050327,-0.34667006,-0.40045983,-0.30170551,0.94994205,0.080583647,0.0084887715,0.35435075,0.033272646,0.93445456,0.32297358,585.0,585.0,320.0,240.0
35,0.88420546,0.31621835,-0.34363875,-0.40513915,-0.30569553,0.94819385,0.085956685,0.0051261699,0.35302997,0.029045893,0.93509513,0.32579836,585.0,585.0,320.0,240.0
36,0.88337791,0.32200438,-0.34037831,-0.40854061,-0.3122631,0.9461664,0.08467856,0.0070538344,0.349334,0.031485043,0.93640327,0.32837287,585.0,585.0,320.0,240.0
37,0.88357776,0.32568622,-0.33633247,-0.41419861,-0.31593981,0.94491595,0.084999293,0.0097627426,0.34550139,0.031157933,0.9378348,0.33064261,585.0,585.0,320.0,240.0
38,0.88384014,0.3278361,-0.33354208,-0.41963488,-0.31632784,0.94432789,0.089946225,0.012881074,0.34447318,0.026010856,0.93836951,0.33316848,585.0,585.0,320.0,240.0
39,0.88407701,0.3258414,-0.33486578,-0.42251548,-0.31150356,0.94519925,0.097326145,0.0090927016,0.34824052,0.018267879,0.93716079,0.33622485,585.0,585.0,320.0,240.0
40,0.88374174,0.32074502,-0.34062108,-0.42632046,-0.30717358,0.94688463,0.094667353,0.0065144314,0.35290599,0.020968262,0.93535703,0.33888173,585.0,585.0,320.0,240.0
41,0.88256508,0.3211478,-0.34328157,-0.43148109,-0.31022662,0.94653916,0.087925151,0.013013857,0.35317943,0.028895915,0.93504214,0.34200791,585.0,585.0,320.0,240.0
42,0.88194138,0.32765454,-0.33870426,-0.43866149,-0.31546652,0.9444021,0.092156596,0.016164552,0.3500815,0.025573447,0.93630284,0.34518537,585.0,585.0,320.0,240.0
43,0.88187814,0.33000031,-0.33658484,-0.44278741,-0.31614736,0.94369894,0.096904673,0.011324389,0.34962618,0.020952299,0.93658769,0.34778523,585.0,585.0,320.0,240.0
44,0.88036978,0.3304213,-0.34010169,-0.4447473,-0.3194063,0.94331688,0.089666039,0.010689603,0.35046422,0.029691935,0.93603796,0.35072863,585.0,585.0,320.0,240.0
45,0.87989223,0.33390141,-0.33793184,-0.4556793,-0.32490528,0.94189799,0.08468762,0.014522966,0.34658733,0.035280827,0.93728662,0.35317641,585.0,585.0,320.0,240.0
46,0.87866724,0.336045,-0.33899233,-0.46018603,-0.32755718,0.94105464,0.083842963,0.013487264,0.34719807,0.037370402,0.93697941,0.35573003,585.0,585.0,320.0,240.0
47,0.87794232,0.33547434,-0.34142676,-0.46677694,-0.32831472,0.94108665,0.080451429,0.014450061,0.34831437,0.041465066,0.93639272,0.35885948,585.0,585.0,320.0,240.0
48,0.87781274,0.33604363,-0.34120026,-0.4788301,-0.32920358,0.94084239,0.079672694,0.016668355,0.34780207,0.042388055,0.9365418,0.36095172,585.0,585.0,320.0,240.0
49,0.87608063,0.33765703,-0.34404686,-0.48510116,-0.33102396,0.94019175,0.079808719,0.016170802,0.35043114,0.043970436,0.93548805,0.36437181,585.0,585.0,320.0,240.0
50,0.87533414,0.33801427,-0.34559253,-0.49221814,-0.33330622,0.93978435,0.074959584,0.015904009,0.35013294,0.049575377,0.93531936,0.36744091,585.0,585.0,320.0,240.0
51,0.87490946,0.33723745,-0.34742105,-0.50158811,-0.33474922,0.93971527,0.069169946,0.017099505,0.34981671,0.055783812,0.93508774,0.37136638,585.0,585.0,320.0,240.0
52,0.87494743,0.33643201,-0.34810522,-0.51371151,-0.33484,0.93985897,0.066733837,0.023294974,0.34963441,0.058173433,0.93501025,0.37503782,585.0,585.0,320.0,240.0
53,0.87447113,0.33531535,-0.35037169,-0.52635139,-0.33191165,0.94053072,0.071713552,0.021026161,0.35359541,0.053583164,0.93379402,0.37803569,585.0,585.0,320.0,240.0
54,0.87269235,0.33631817,-0.35382858,-0.53654462,-0.3327229,0.94014645,0.072980955,0.021687662,0.35720912,0.054039083,0.93239135,0.38271248,585.0,585.0,320.0,240.0
55,0.87175578,0.33914644,-0.35343638,-0.54862201,-0.3346383,0.93923724,0.075869843,0.023143278,0.35770527,0.052135363,0.93230909,0.38640732,585.0,585.0,320.0,240.0
56,0.87086672,0.34075999,-0.35407493,-0.56176955,-0.33500069,0.93880367,0.079544857,0.022723205,0.3595264,0.049344148,0.93176025,0.3898775,585.0,585.0,320.0,240.0
57,0.86824435,0.3435224,-0.35782585,-0.57293946,-0.33708364,0.93781054,0.08240597,0.024003703,0.3638953,0.049070477,0.93007708,0.39424694,585.0,585.0,320.0,240.0
58,0.86608768,0.34680626,-0.35987872,-0.58530891,-0.33875933,0.93674862,0.087457202,0.026991686,0.36746097,0.046168189,0.92882282,0.39823002,585.0,585.0,320.0,240.0
59,0.86331016,0.35090357,-0.36257008,-0.59691834,-0.33970484,0.93551308,0.096541755,0.023399284,0.37308064,0.039822377,0.9268741,0.40245157,585.0,585.0,320.0,240.0
60,0.86106962,0.3526248,-0.36620995,-0.60764331,-0.34074381,0.93487775,0.099003017,0.025017789,0.37728745,0.039536256,0.92518198,0.40710568,585.0,585.0,320.0,240.0
61,0.85885876,0.355306,-0.36880091,-0.62020844,-0.34208122,0.93394256,0.10313124,0.026530756,0.38109729,0.03758553,0.92370057,0.41086915,585.0,585.0,320.0,240.0
62,0.85472769,0.36111605,-0.37273362,-0.62883443,-0.34510285,0.93187177,0.11145745,0.027630964,0.38760471,0.033366166,0.92115116,0.41526279,585.0,585.0,320.0,240.0
63,0.85251993,0.36510688,-0.3739,-0.63915098,-0.34568542,0.93053454,0.12045982,0.027095264,0.39192358,0.026557392,0.91954374,0.41914594,585.0,585.0,320.0,240.0
64,0.8497358,0.36930126,-0.37611151,-0.64880461,-0.34737614,0.92898637,0.12734751,0.025400119,0.3964484,0.022440143,0.91771173,0.42319384,585.0,585.0,320.0,240.0
65,0.84582061,0.37454882,-0.37972966,-0.65686923,-0.35137981,0.92689002,0.1315677,0.02674102,0.40126282,0.02214634,0.91562384,0.42605945,585.0,585.0,320.0,240.0
66,0.84270859,0.37803471,-0.38317826,-0.66588712,-0.35399106,0.92547071,0.13452618,0.0285773,0.40549272,0.022274969,0.91375524,0.42901105,585.0,585.0,320.0,240.0
67,0.83869064,0.38238743,-0.38764843,-0.67451859,-0.35645741,0.92371529,0.1399678,0.028464252,0.41161597,0.020789988,0.91104823,0.43209273,585.0,585.0,320.0,240.0
68,0.83481205,0.38773057,-0.39070114,-0.68411791,-0.36027652,0.92150319,0.14468946,0.029868973,0.41615048,0.019971402,0.90900403,0.43403995,585.0,585.0,320.0,240.0
69,0.83124107,0.39114335,-0.39489093,-0.69086772,-0.3612994,0.9201141,0.15084727,0.028984644,0.42236564,0.017282663,0.90618807,0.43729573,585.0,585.0,320.0,240.0
70,0.82873505,0.39134103,-0.39992997,-0.69912213,-0.35915902,0.92008114,0.15606843,0.028508209,0.42906252,0.014298124,0.90308869,0.43923727,585.0,585.0,320.0,240.0
71,0.82412624,0.39579761,-0.40503541,-0.70783311,-0.36179945,0.91818058,0.16108176,0.02939372,0.43567032,0.013788892,0.89992738,0.44125608,585.0,585.0,320.0,240.0
72,0.8206532,0.40139306,-0.40657771,-0.71512043,-0.36656308,0.91574025,0.16417325,0.029410079,0.43823662,0.014306105,0.89867228,0.44315696,585.0,585.0,320.0,240.0
73,0.81895977,0.40531206,-0.40610418,-0.72231913,-0.36913896,0.91403931,0.16783845,0.029395159,0.43924129,0.012454783,0.8982091,0.44484004,585.0,585.0,320.0,240.0
74,0.8177225,0.40553129,-0.40837181,-0.72794342,-0.36653683,0.91399467,0.17368151,0.026884206,0.44370246,0.0076585202,0.89606744,0.44594139,585.0,585.0,320.0,240.0
75,0.81611896,0.40206978,-0.41494894,-0.73136967,-0.36210412,0.91552389,0.17492045,0.025981029,0.45024583,0.0074973153,0.89279866,0.4476665,585.0,585.0,320.0,240.0
76,0.81515378,0.40057501,-0.4182784,-0.73869926,-0.35903344,0.91619408,0.17771789,0.025011202,0.45443377,0.0053068898,0.89068997,0.44785506,585.0,585.0,320.0,240.0
77,0.81307554,0.4007566,-0.42213121,-0.7417239,-0.35803941,0.91611785,0.18009934,0.021069186,0.45891854,0.0047035469,0.88839084,0.44956741,585.0,585.0,320.0,240.0
78,0.81116104,0.4006269,-0.42592004,-0.74489009,-0.35929599,0.91614145,0.17745659,0.017726822,0.46131781,0.0090841213,0.88711327,0.4509643,585.0,585.0,320.0,240.0
79,0.81049019,0.39912376,-0.42859936,-0.74885738,-0.35874236,0.9167679,0.17532711,0.01617364,0.46292454,0.011654624,0.88624561,0.4512831,585.0,585.0,320.0,240.0
80,0.80967009,0.39643207,-0.43262827,-0.75221449,-0.35590106,0.91792732,0.17505044,0.013953766,0.46653837,0.012238574,0.88434035,0.45195672,585.0,585.0,320.0,240.0
81,0.80706662,0.39425561,-0.43942758,-0.75291538,-0.35430855,0.91881365,0.1736242,0.010094662,0.47222644,0.015565719,0.88126367,0.45359877,585.0,585.0,320.0,240.0
82,0.80495709,0.39313576,-0.44427332,-0.75485671,-0.3558183,0.91915405,0.16866286,0.0090258103,0.47468531,0.022313759,0.87979621,0.45529306,585.0,585.0,320.0,240.0
83,0.80362868,0.39246014,-0.447265,-0.75768465,-0.35675451,0.91933376,0.16567859,0.0066259643,0.47623059,0.026419606,0.87884682,0.45618907,585.0,585.0,320.0,240.0
84,0.80151474,0.39274365,-0.45079502,-0.76059347,-0.35871398,0.91906518,0.16291438,0.0037802835,0.47831634,0.031128395,0.87755889,0.45783031,585.0,585.0,320.0,240.0
85,0.79996771,0.39189538,-0.45426741,-0.76307023,-0.35868725,0.91933352,0.16145301,0.0017599358,0.48091885,0.033783067,0.87603694,0.45938447,585.0,585.0,320.0,240.0
86,0.79796112,0.38882089,-0.46039683,-0.76472956,-0.35590282,0.92056519,0.1605937,-0.00041145759,0.48629075,0.035709497,0.87298942,0.46124452,585.0,585.0,320.0,240.0
87,0.79510903,0.38950038,-0.46473622,-0.77002484,-0.35671902,0.92019296,0.16091563,-0.0030278903,0.49034721,0.037835412,0.87062758,0.46257409,585.0,585.0,320.0,240.0
88,0.7919243,0.39302996,-0.46719563,-0.77350169,-0.3612521,0.91851974,0.16036037,-0.004587776,0.4921785,0.041783068,0.86941278,0.46501738,585.0,585.0,320.0,240.0
89,0.78984731,0.39707249,-0.46729308,-0.77832687,-0.36600488,0.91665369,0.1602596,-0.006234901,0.49200431,0.044452056,0.86937881,0.46701661,585.0,585.0,320.0,240.0
90,0.78679997,0.40018913,-0.46976858,-0.78109151,-0.36914426,0.91519839,0.16137303,-0.0092857359,0.49453506,0.046445362,0.86783731,0.47026661,585.0,585.0,320.0,240.0
91,0.78394252,0.40023935,-0.47447884,-0.7830466,-0.37003514,0.91500038,0.16045217,-0.012459429,0.49839175,0.049790077,0.8654421,0.4738051,585.0,585.0,320.0,240.0
92,0.78084052,0.3988643,-0.48071057,-0.78619009,-0.36969498,0.91538829,0.15901698,-0.01421896,0.50348735,0.053551111,0.86226201,0.47713569,585.0,585.0,320.0,240.0
93,0.77792233,0.39831132,-0.48587236,-0.79020292,-0.36951816,0.91548526,0.15886895,-0.015684316,0.50811303,0.055952828,0.85939121,0.48137271,585.0,585.0,320.0,240.0
94,0.77575338,0.39703247,-0.49036562,-0.79560173,-0.36652714,0.91615081,0.1619308,-0.018420238,0.51356596,0.054115705,0.85626179,0.48421669,585.0,585.0,320.0,240.0
95,0.77146631,0.39458126,-0.49903065,-0.7976526,-0.36216584,0.91726625,0.16539179,-0.022951314,0.52303034,0.053139303,0.85057509,0.48948091,585.0,585.0,320.0,240.0
96,0.76710302,0.39274269,-0.50714111,-0.8014679,-0.35987937,0.91795933,0.16653256,-0.026740372,0.53096575,0.054763772,0.8455404,0.49375194,585.0,585.0,320.0,240.0
97,0.76236016,0.39579463,-0.51189768,-0.80519265,-0.36260718,0.91650605,0.16860613,-0.031156424,0.5359174,0.057081081,0.84225672,0.5002436,585.0,585.0,320.0,240.0
98,0.75904149,0.39333653,-0.51867884,-0.80663013,-0.35874996,0.91760635,0.17085737,-0.037282016,0.54317468,0.056390058,0.83764142,0.50668401,585.0,585.0,320.0,240.0
99,0.75657332,0.38342959,-0.52958786,-0.80810165,-0.349332,0.92170924,0.16826934,-0.043083839,0.55267328,0.057695832,0.83131522,0.51093614,585.0,585.0,320.0,240.0
100,0.75356609,0.37624899,-0.53894234,-0.81061584,-0.34265983,0.92455983,0.166337,-0.045850113,0.56089717,0.059330028,0.82567275,0.51769805,585.0,585.0,320.0,240.0
101,0.75099027,0.37242752,-0.545156,-0.81396538,-0.33875206,0.92606133,0.16598809,-0.051932108,0.56669545,0.060019337,0.82165396,0.52228618,585.0,585.0,320.0,240.0
102,0.74965519,0.3666063,-0.55090827,-0.81694829,-0.33483171,0.92818397,0.16203809,-0.058425847,0.57077807,0.062991157,0.81859976,0.5270313,585.0,585.0,320.0,240.0
103,0.74853444,0.36369276,-0.5543521,-0.82309461,-0.33601382,0.92884648,0.15566878,-0.06269417,0.57155359,0.06974934,0.81750983,0.53009993,585.0,585.0,320.0,240.0
104,0.74571896,0.36445525,-0.55763566,-0.82658094,-0.33997631,0.92803037,0.15188622,-0.06742429,0.57288861,0.076321758,0.81598651,0.53655601,585.0,585.0,320.0,240.0
105,0.7445088,0.36238405,-0.56059438,-0.83018792,-0.33929574,0.92863673,0.14968561,-0.074563868,0.57486236,0.078768544,0.81436384,0.54251128,585.0,585.0,320.0,240.0
106,0.74095219,0.35779965,-0.5681991,-0.83275223,-0.33737373,0.92997563,0.14566293,-0.078412399,0.58056003,0.083770066,0.8098098,0.54921424,585.0,585.0,320.0,240.0
107,0.73707741,0.35759762,-0.57334238,-0.83661073,-0.33647797,0.930013,0.14748347,-0.085287064,0.58598655,0.084214255,0.80584538,0.55567682,585.0,585.0,320.0,240.0
108,0.73612088,0.35553405,-0.57584912,-0.84247702,-0.3349255,0.93072921,0.14649437,-0.092649661,0.58807439,0.085032977,0.80423671,0.56046319,585.0,585.0,320.0,240.0
109,0.73392814,0.35099182,-0.58140755,-0.84559023,-0.33193037,0.93222564,0.14377001,-0.094751127,0.59249651,0.087474145,0.80072135,0.56799185,585.0,585.0,320.0,240.0
110,0.72978306,0.34964901,-0.587403,-0.84872597,-0.3272332,0.93308651,0.1488619,-0.10322375,0.60017943,0.083584733,0.79539728,0.57314324,585.0,585.0,320.0,240.0
111,0.72391242,0.34872305,-0.59516609,-0.85076052,-0.32764149,0.93305165,0.14817922,-0.10964074,0.60702693,0.087736465,0.78973329,0.581034,585.0,585.0,320.0,240.0
112,0.72055906,0.35326967,-0.59655243,-0.85619467,-0.3336398,0.93090844,0.14827342,-0.1214579,0.60774916,0.092198439,0.78866887,0.58505744,585.0,585.0,320.0,240.0
113,0.72014987,0.34969205,-0.59914851,-0.85767525,-0.33656499,0.93128544,0.13900444,-0.11959268,0.60661995,0.10155363,0.78838885,0.59559822,585.0,585.0,320.0,240.0
114,0.7190156,0.33927503,-0.60645527,-0.85898101,-0.32807142,0.93502414,0.13412444,-0.12060494,0.61258894,0.10252842,0.78363281,0.60154819,585.0,585.0,320.0,240.0
115,0.71304703,0.32899436,-0.61903566,-0.85803545,-0.31820416,0.93868071,0.13234274,-0.1262994,0.62465137,0.10261838,0.77403998,0.60825956,585.0,585.0,320.0,240.0
116,0.70736629,0.33138648,-0.6242547,-0.86287147,-0.32067814,0.93755591,0.13432842,-0.13220973,0.62982321,0.10517085,0.76949275,0.61189562,585.0,585.0,320.0,240.0
117,0.70241076,0.33836222,-0.62610519,-0.86604518,-0.32931641,0.93438578,0.13551091,-0.13246706,0.63091058,0.11100824,0.76777965,0.61937386,585.0,585.0,320.0,240.0
118,0.69853032,0.34483513,-0.62691396,-0.87133586,-0.33464238,0.93187243,0.13970509,-0.13772556,0.6324144,0.11220972,0.76636642,0.62242907,585.0,585.0,320.0,240.0
119,0.69287819,0.34693256,-0.63200808,-0.87252468,-0.33779696,0.93061149,0.14051388,-0.14509973,0.63693881,0.11613773,0.7620219,0.62730366,585.0,585.0,320.0,240.0
120,0.68984324,0.3513622,-0.63287991,-0.87689495,-0.34523192,0.92811245,0.1389621,-0.14643432,0.63624567,0.12263509,0.76158243,0.63055623,585.0,585.0,320.0,240.0
121,0.68791068,0.35325199,-0.63393044,-0.87956643,-0.3478353,0.92710906,0.13916698,-0.14510137,0.6369198,0.12477592,0.76067054,0.63511568,585.0,585.0,320.0,240.0
122,0.69608861,0.33442912,-0.63521117,-0.89587963,-0.34250477,0.93232644,0.11552425,-0.12728526,0.63089442,0.13715567,0.76355451,0.66216177,585.0,585.0,320.0,240.0
123,0.68920422,0.33254561,-0.64365047,-0.897008,-0.33949512,0.93304843,0.11854015,-0.13093416,0.64001316,0.13682567,0.75598729,0.66855496,585.0,585.0,320.0,240.0
124,0.68325251,0.33849829,-0.64688426,-0.89920652,-0.34450161,0.93061978,0.12309805,-0.13621336,0.64370829,0.13875365,0.75249052,0.67155099,585.0,585.0,320.0,240.0
125,0.67975968,0.34085879,-0.64932007,-0.90050286,-0.34659091,0.92957163,0.12513496,-0.14528416,0.64627951,0.13999489,0.75005251,0.6737361,585.0,585.0,320.0,240.0
126,0.67569166,0.34071663,-0.65362608,-0.9015339,-0.34811234,0.92909539,0.1244446,-0.14938925,0.64971834,0.14345749,0.74641824,0.67917067,585.0,585.0,320.0,240.0
127,0.66869187,0.34069601,-0.66079581,-0.90529692,-0.3474308,0.92895401,0.12736957,-0.16077721,0.6572808,0.14441824,0.73958051,0.68940228,585.0,585.0,320.0,240.0
128,0.66646647,0.34158632,-0.66258192,-0.9083277,-0.34363848,0.9294982,0.1335364,-0.1773304,0.6615209,0.1386991,0.73688972,0.69111329,585.0,585.0,320.0,240.0
129,0.66403621,0.33661237,-0.66754854,-0.90799773,-0.34153026,0.93082631,0.12963504,-0.186946,0.66504687,0.14191395,0.73309386,0.69568288,585.0,585.0,320.0,240.0
130,0.66236424,0.33455753,-0.67023718,-0.90921909,-0.34185022,0.93108225,0.12692483,-0.18942653,0.66654807,0.14505878,0.7311123,0.70089042,585.0,585.0,320.0,240.0
131,0.66147232,0.33182818,-0.67247099,-0.91223788,-0.33511639,0.93299919,0.13074717,-0.20503101,0.67083937,0.13887843,0.72838241,0.70281005,585.0,585.0,320.0,240.0
132,0.65748537,0.33178487,-0.67639047,-0.91450429,-0.33591139,0.93268096,0.13097614,-0.21804018,0.67435163,0.14110053,0.7247026,0.7047593,585.0,585.0,320.0,240.0
133,0.6550746,0.33577332,-0.67676121,-0.91667688,-0.34384927,0.93010998,0.12863855,-0.22503513,0.6726948,0.14844471,0.72477514,0.70782608,585.0,585.0,320.0,240.0
134,0.6556558,0.33694384,-0.67561549,-0.91718483,-0.34761888,0.92906976,0.12599543,-0.23012406,0.67018622,0.15225604,0.72630656,0.71308345,585.0,585.0,320.0,240.0
135,0.65556115,0.33487755,-0.67673337,-0.91959429,-0.34655234,0.92969096,0.12433967,-0.23767073,0.67083049,0.15302037,0.72555047,0.71801996,585.0,585.0,320.0,240.0
136,0.65417141,0.33469015,-0.67816925,-0.92131728,-0.347451,0.92946076,0.12354925,-0.24843702,0.6717217,0.15481745,0.72434384,0.72209269,585.0,585.0,320.0,240.0
137,0.65402061,0.33593866,-0.6776973,-0.92285341,-0.35153246,0.92827386,0.12089776,-0.25536641,0.66974181,0.15917256,0.72523248,0.72547978,585.0,585.0,320.0,240.0
138,0.65524799,0.33504575,-0.67695314,-0.92468596,-0.35155129,0.92847949,0.11925242,-0.26043457,0.66853094,0.15985349,0.72619903,0.73197818,585.0,585.0,320.0,240.0
139,0.65627456,0.32739761,-0.67969519,-0.92497218,-0.34677351,0.93098021,0.11361071,-0.26370126,0.6700176,0.16115019,0.72454029,0.73505759,585.0,585.0,320.0,240.0
140,0.65485835,0.32461289,-0.68239111,-0.92506933,-0.34879342,0.93088192,0.10809726,-0.27316999,0.67035425,0.16723531,0.7228477,0.73711866,585.0,585.0,320.0,240.0
141,0.65677768,0.32692465,-0.67943603,-0.92543465,-0.35344392,0.92941886,0.10555003,-0.28595582,0.66602635,0.17083016,0.72600043,0.73906702,585.0,585.0,320.0,240.0
142,0.66108865,0.32264638,-0.67729658,-0.92386919,-0.35416448,0.93003875,0.097355165,-0.28994554,0.66136199,0.17552492,0.7291376,0.74435401,585.0,585.0,320.0,240.0
143,0.66447884,0.31916666,-0.67562526,-0.92323321,-0.35401386,0.93069142,0.091485418,-0.29415476,0.65803641,0.17840178,0.73144424,0.74718636,585.0,585.0,320.0,240.0
144,0.6657871,0.31818247,-0.67480075,-0.92137259,-0.35371518,0.93095243,0.089971036,-0.30280113,0.65687335,0.17879704,0.73239243,0.74982733,585.0,585.0,320.0,240.0
145,0.66880029,0.31799233,-0.67190427,-0.92063934,-0.35732251,0.93008596,0.084508665,-0.30895033,0.65184039,0.18357882,0.73569834,0.75193715,585.0,585.0,320.0,240.0
146,0.67364162,0.32002187,-0.66607887,-0.91993338,-0.36173621,0.92874503,0.080376491,-0.31622764,0.64437771,0.18681191,0.74143618,0.75422871,585.0,585.0,320.0,240.0
147,0.68293518,0.32144073,-0.65585327,-0.91737163,-0.36676088,0.92741179,0.072627597,-0.32542261,0.63162845,0.19095367,0.75128597,0.75768536,585.0,585.0,320.0,240.0
